Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
L. Henderson,Empoli,"LCMF, RCMF",29,2025-06-30,2292,Scotland,right,183,7.11,7.97,48.28,1.49,52.63,0.31,0.24,2.98,3.33,0.94,0,0.02,0.71,11.11,0,1.26,50,0.47,41.67,2.24,47.37,0.39,0.35,0.08,20.65,0.75,32.43,79.54,12.17,65.16,27.53,85.31,3.69,45.74,19.1,0.14,0.94,0.08,0.39,6.2,60.76,2.32,42.37,0.39,20,0.47,5.65,76.39,,
F. Guilbert,Lecce,RB,30,2026-06-30,2292,France,right,178,11.54,8.48,65.74,2.87,50.68,0.58,0.24,5.5,6.71,1.77,0,0.01,0.31,0,0,1.73,43.18,1.57,65,3.38,51.16,0.2,1.41,0.43,24.35,0.82,35.42,80.6,15.98,74.69,29.88,85.55,3.93,60,18.41,0.07,0.63,0,0.39,5.42,69.57,2,47.06,0.39,60,0.35,8.36,69.01,,
S. Castro,Bologna,CF,20,2028-06-30,2309,Argentina,right,179,3.2,3.59,44.57,4.29,27.27,0.33,0.23,1.4,2.39,1.91,0.31,0.33,2.07,37.74,15.094,0.35,44.44,1.56,60,11.46,23.47,3.31,0.7,0.08,10.17,1.83,15.24,80.56,2.46,58.73,13.6,82.52,1.36,71.43,17.8,0.06,0.66,0.16,0.27,1.4,66.67,0.97,40,0.12,0,0.58,1.21,80.65,,
I. Hien,Atalanta,CB,26,2028-06-30,2315,"Sweden, Burkina Faso",right,191,11.94,9.87,71.65,4.12,51.89,0.1,0.62,4.78,6.32,0.23,0,0.04,0.16,25,0,0.08,0,0.23,83.33,2.25,46.55,0.31,0.27,0.08,29.24,0.62,44.83,91.67,11.39,79.86,43.23,92.9,1.52,61.54,20.18,0,0,0,0,3.3,81.18,0.12,33.33,0.08,50,0.04,4.94,63.78,,
Juan Miranda,Bologna,LB,25,2027-06-30,2316,Spain,left,185,7.93,5.63,70.34,2.6,50.75,0.77,0.04,3.5,5.77,2.91,0,0.03,0.66,35.29,0,4.82,39.52,0.85,68.18,2.33,51.67,0.66,1.13,0.12,41.66,1.17,53.7,81.04,22.46,74.39,41.08,91.3,7.89,52.22,22.55,0.19,1.59,0.19,0.54,8.86,72.37,5.91,44.74,0.97,32,0.7,13.06,81.55,,
A. Ismajli,Empoli,CB,28,2025-06-30,2322,"Kosovo, Albania",right,185,9.96,5.08,71.76,5.47,50.35,0.79,0.85,5.62,6.37,0.08,0,0.02,0.19,20,0,0,0,0.08,50,0.54,78.57,0.23,0.08,0,18.41,0.93,32.09,87.68,10.62,76.64,28.14,90.5,3.95,67.65,21.21,0,0,0,0,1.74,60,0.12,33.33,0.16,25,0.08,4.38,57.52,,
F. Gatti,Juventus,RCB,26,2028-06-30,2326,Italy,right,190,8.24,4.84,72,2.94,51.32,0.33,0.54,4.53,6.37,0.93,0.04,0.14,0.89,34.78,4.348,0.04,100,0.77,75,2.55,51.52,1.01,1.32,0.39,43.61,0.77,55.52,95.19,16.48,88.97,54.09,96.35,1.39,50,18.42,0.01,0.08,0.04,0,3.64,82.98,0.35,44.44,0.12,33.33,0.08,5.34,78.99,,
A. Bonny,Parma,CF,21,2027-06-30,2339,"France, Côte d'Ivoire",right,189,3.66,2.89,57.33,3.77,30.61,0.26,0.23,1.77,2.03,2.92,0.23,0.34,2,36.54,11.538,0.65,35.29,3.04,58.23,15.12,24.68,3.35,1.19,0.08,11.24,1.42,18.51,78.17,4.35,65.49,17.08,80.41,0.77,65,16.09,0.08,0.81,0.31,0.35,1.92,60,1,57.69,0.27,57.14,0.77,1.65,74.42,,
P. Kalulu,Juventus,"LCB, RCB",24,2027-06-30,2351,"France, Congo DR",right,182,6.66,4.59,70.83,2.99,34.62,0.43,0.5,3.1,4.39,0.69,0.04,0.04,0.27,28.57,14.286,0.88,39.13,0.38,70,1.95,52.94,0.57,2.87,0.42,59.57,0.65,72.74,94.68,23.85,89.41,69.52,96.42,2.41,63.49,17.29,0.02,0.31,0,0.11,5.63,90.48,1.11,51.72,0.15,75,0.27,6.85,77.09,,
M. Thuram,Internazionale,CF,27,2028-06-30,2356,"France, Guadeloupe",right,192,3.25,3.13,60.98,3.86,48.51,0,0.08,1.34,1.99,2.79,0.53,0.39,2.37,41.94,22.581,0.84,27.27,2.44,62.5,9.36,34.29,4.97,2.29,0.46,13.9,1.34,18.95,79.44,3.4,71.91,17.95,81.91,0.23,50,13.66,0.19,1.18,0.08,0.65,1.15,73.33,1.3,76.47,0.08,50,1.6,1.34,77.14,,
M. Ellertsson,Venezia,"LWB, LB",23,2028-06-30,2360,Iceland,left,182,7.28,7.09,53.23,1.33,42.86,0.09,0.19,3.43,4.2,1.3,0.08,0.06,0.69,22.22,11.111,0.95,36,1.75,45.65,5.3,37.41,1.56,1.14,0.23,14.49,1.37,20.21,73.4,6.83,57.54,17.58,78.09,1.75,45.65,16.81,0.04,0.53,0.04,0.38,1.87,57.14,1.03,37.04,0.08,50,0.53,3.66,56.25,,
A. Bastoni,Internazionale,LCB,26,2028-06-30,2360,Italy,left,190,7.21,6.06,61.01,2.71,56.34,0.29,0.27,3.32,5.06,1.83,0.04,0.04,0.38,20,10,2.44,53.13,0.5,84.62,2.9,60.53,0.92,2.33,0.19,57.93,1.33,69.86,90.12,22.12,79.66,60.48,95.21,7.13,58.29,20.91,0.06,0.76,0.08,0.57,8.16,72.43,3.36,64.77,1.11,51.72,1.03,11.48,82.06,,
R. Bellanova,Atalanta,"RWB, RB",24,2029-06-30,2367,Italy,right,188,5.74,4.3,59.29,1.98,50,0.25,0.19,3,3.96,4.11,0,0.06,0.57,33.33,0,4.98,36.64,3.57,58.51,6.35,50.9,1.48,2.21,0.72,27.79,1.14,37.38,80.16,9.39,70.45,30.38,88.99,2.09,54.55,18.59,0.16,0.95,0.04,0.61,2.43,75,4.11,40.74,0.08,0,0.15,6.08,72.5,,
K. Yıldız,Juventus,"LAMF, RAMF, LWF",19,2029-06-30,2369,"Germany, Türkiye",right,185,4.6,4.1,64.81,1.41,21.62,0.27,0.08,1.75,2.49,6.23,0.23,0.18,2.09,36.36,10.909,3,36.71,6.23,66.46,12.99,50.29,3.34,2.81,0.23,28.11,1.67,36.74,84.38,7.45,76.53,32.56,89.38,1.29,64.71,16.59,0.18,1.56,0.46,0.68,2.77,78.08,4.07,54.21,0.49,53.85,1.56,5.62,82.43,,
M. Koné,Roma,"LCMF, RCMF",23,2026-06-30,2375,"France, Côte d'Ivoire",right,185,6.09,4.84,58.87,2.3,42.37,0.75,0.2,2.66,3.42,1.91,0.08,0.13,1.09,25,7.143,0.12,33.33,2.34,66.67,8.94,54.15,1.21,2.07,0.47,32.21,2.73,41.27,91.67,11.01,84.4,40.06,92.5,1.09,67.86,16.51,0.03,0.55,0.12,0.12,5.58,88.81,0.74,68.42,0.16,50,0.62,4.57,82.05,,
M. Viti,Empoli,LCB,23,2027-06-30,2377,Italy,left,190,10.11,7.95,68.57,3.82,53.47,0.26,0.57,4.43,5.01,0.23,0,0.02,0.19,20,0,0,0,0.53,35.71,3.18,41.67,0.27,0.57,0.04,19.23,0.87,31.39,81.18,14.12,66.22,25.67,87.91,5.72,50.99,21.8,0,0,0,0,5.07,52.24,0.45,25,0.34,22.22,0.11,6.06,63.75,,
R. Gosens,Fiorentina,"LB, LWB",30,2028-06-30,2380,"Germany, Netherlands",left,183,6.88,5.22,59.42,4.05,61.68,0.59,0.3,3.33,4.31,1.36,0.19,0.08,0.68,33.33,27.778,2.12,41.07,0.45,50,1.74,56.52,1.55,0.76,0.26,27.61,0.72,35.36,80,14.33,73.88,29.87,86.46,3.48,46.74,19.63,0.07,0.72,0.11,0.49,3.59,67.37,2.34,58.06,0.26,42.86,0.68,7.64,67.82,,
Rafael Leão,Milan,"LAMF, LW, LWF",25,2028-06-30,2382,"Portugal, Angola",right,188,2.08,2.12,44.64,2,49.06,0.15,0.04,1.02,1.36,4.8,0.26,0.28,2.08,43.64,12.727,2.61,34.78,5.1,57.04,11.26,46.31,4.46,4.19,0.64,25.47,1.89,29.32,77.06,7.1,66.49,25.31,82.69,1.47,51.28,17.77,0.24,1.55,0.38,1.02,2.76,61.64,3.63,58.33,0.45,33.33,2.08,4.87,82.17,,
A. Dovbyk,Roma,CF,27,2029-06-30,2384,Ukraine,left,189,1.57,1.57,37.5,4.11,35.24,0,0.27,0.98,1.32,1.76,0.42,0.49,2.23,43.86,19.298,0.04,0,1.29,54.55,9.64,23.98,4.58,0.78,0.16,8.38,0.51,14.03,77.93,1.41,55.56,13.87,78.53,0.12,33.33,11.1,0.06,0.55,0.12,0.27,0.74,78.95,0.51,61.54,0.12,66.67,0.94,0.71,27.78,,
L. Lucca,Udinese,CF,24,2028-06-30,2395,Italy,right,201,3.16,2.67,56.34,5.56,39.86,0.1,0.11,1.58,2.03,1.32,0.38,0.31,1.84,44.9,20.408,0.34,0,1.01,44.44,7.97,31.6,3.16,0.53,0.19,7.37,1.8,11.39,71.95,1.43,42.11,10.9,73.79,0.19,80,15.73,0.04,0.34,0.08,0.08,0.86,65.22,0.41,18.18,0.08,50,0.26,0.68,50,,
G. Busio,Venezia,"LCMF, LWF, AMF",22,2026-06-30,2397,"United States, Italy",right,172,6.98,5.71,53.95,2.4,43.75,0.24,0.3,3.72,4.7,1.69,0.08,0.09,1.16,22.58,6.452,1.2,28.13,2.18,46.55,6.8,38.67,1.8,2.07,0.41,21.74,1.58,29.66,80.13,7.73,65.05,26.43,84.66,2.03,51.85,18.16,0.03,0.64,0.11,0.08,3.49,73.12,1.88,50,0.19,20,1.05,4.13,70.91,,
A. Gallo,Lecce,LB,25,2026-06-30,2411,Italy,left,183,11.31,7.99,68.22,2.46,40.91,0.36,0.15,5.56,6.69,2.46,0,0.01,0.19,40,0,3.55,43.16,1.38,59.46,3.21,40.7,0.52,1.64,0.41,21.13,0.52,32.44,72.38,15.23,66.18,23.26,82.83,5.71,47.06,21.65,0.12,1.23,0.11,0.52,4.96,62.41,2.91,51.28,0.56,40,0.15,10,68.28,,
H. Mkhitaryan,Internazionale,LCMF,36,2026-06-30,2417,Armenia,right,177,7,5.96,51.25,1.53,60.98,0.22,0.19,3.8,5.64,1.49,0.04,0.06,0.89,16.67,4.167,1.01,40.74,1.01,66.67,3.57,47.92,1.45,2.2,0.37,42.3,0.82,52.61,89.24,14.22,81.41,49.45,90.81,2.23,73.33,16.88,0.1,0.97,0.45,0.41,7.26,87.69,2.9,69.23,0.56,60,2.05,6.93,83.33,,
L. da Cunha,Como,"RDMF, LDMF, LCMF",23,2029-06-30,2438,"France, Portugal",left,174,5.68,5.02,61.76,1.59,39.53,0.21,0.07,2.44,3.48,1.92,0.11,0.07,1.14,41.94,9.677,1.55,47.62,1.55,45.24,3.47,44.68,1.18,1.88,0.41,37.14,0.81,48.43,88.41,12.33,74.55,44.04,91.87,2.88,57.69,18.11,0.15,1.48,0,0.26,5.72,78.06,2.29,69.35,0.37,40,0.92,6.5,76.7,,
A. Bianco,Monza,"LCMF, DMF",22,2026-06-30,2442,Italy,right,173,7.67,5.82,63.92,1.51,36.59,0.35,0.55,3.65,4.32,1.55,0.04,0.05,0.81,27.27,4.545,0.81,27.27,1.62,63.64,4.83,51.91,0.44,1.29,0.26,33.54,1.62,46,86.54,11.2,72.7,40.5,90.81,4.75,58.91,20.46,0.03,0.55,0.15,0.15,6.67,76.24,1.36,40.54,0.33,55.56,0.29,6.56,71.35,,
Gabriel Strefezza,Como,"RAMF, RW",28,2027-06-30,2448,"Brazil, Italy",right,168,5.04,5.77,49.04,1.32,27.78,0.1,0.11,2.13,3.02,3.71,0.15,0.17,1.8,38.78,8.163,3.24,25,3.9,56.6,11.54,44.59,2.5,1.58,0.33,26.14,2.39,35.74,78.81,8.79,62.34,29.78,86.91,2.83,53.25,17.51,0.11,1.58,0.18,0.37,4.19,61.4,2.83,42.86,0.37,10,0.74,4.15,73.45,,
E. Goldaniga,Como,"RCB, RB",31,2026-06-30,2470,Italy,right,188,6.16,4.7,63.57,2.7,52.7,0.42,0.29,2.88,4.13,0.29,0.04,0.07,0.4,45.45,9.091,0.36,10,0.26,28.57,1.75,45.83,0.58,0.66,0.04,32.25,1.09,43.91,88.63,18.77,81.94,38.73,93.41,4.81,56.06,20.77,0.01,0.04,0,0.04,5.43,67.11,0.62,35.29,0.4,18.18,0.18,7.32,73.63,,
L. Coulibaly,Lecce,"RCMF, RDMF",29,2027-06-30,2481,Mali,right,183,7.47,5.77,59.75,2.83,46.15,0.26,0.36,3.81,4.57,0.65,0,0.01,0.18,20,0,0.33,11.11,0.8,68.18,3.95,42.2,0.44,0.4,0.22,19.41,1.23,29.82,85.04,8.89,70.61,27.03,89.26,2.47,48.53,17.48,0.02,0.25,0.18,0.11,4.06,75,0.87,37.5,0.4,27.27,0.29,4.39,61.16,,
J. Lucumí,Bologna,LCB,26,2026-06-30,2482,Colombia,left,187,8.09,5.91,66.26,2.97,43.9,0.29,0.47,3.99,6.47,0.33,0,0.03,0.29,25,0,0.11,0,0.25,100,1.81,42,0.54,1.45,0.07,42.64,0.4,61.46,92.51,19.07,84.22,56.46,95.5,4.9,60,20.23,0.02,0.22,0,0.07,6.24,72.09,0.62,17.65,0.36,20,0.22,6.67,78.26,,
K. Ehizibue,Udinese,"RWB, RB",29,2026-06-30,2488,"Nigeria, Netherlands",right,189,7.74,6.11,58.58,2.1,39.66,0.18,0.33,4.02,4.98,2.5,0,0.03,0.43,25,0,2.39,48.48,1.7,72.34,5.21,46.53,1.23,1.34,0.25,18.52,1.09,26.33,76.24,8.54,59.75,22.17,81.89,2.03,46.43,19.13,0.04,0.51,0,0.36,2.46,57.35,2.13,52.54,0.22,16.67,0.33,5.28,58.9,,
Nico Paz,Como,"AMF, CF",20,2028-06-30,2509,"Spain, Argentina",left,186,6.06,5.6,57.05,1.79,48,0.52,0.07,2.51,3.63,4.09,0.22,0.31,3.23,42.22,6.667,0.86,33.33,4.41,46.34,12.23,36.07,2.69,1.97,0.39,27.66,1.04,35.15,84.8,10.08,73.31,32.71,87.61,1.72,52.08,16.05,0.14,1.18,0.5,0.61,4.63,75.19,2.15,65,0.75,66.67,1.4,5.09,77.46,,
A. Romagnoli,Lazio,LCB,30,2027-06-30,2509,Italy,left,185,7.6,4.84,74.81,4.41,56.91,0.36,0.47,3.73,5.33,0.32,0.07,0.1,0.47,53.85,15.385,0.04,0,0.07,100,0.39,63.64,0.79,0.22,0,36.62,0.32,48.71,93,18.29,86.08,45.66,95.84,3.01,51.19,18.44,0,0.14,0,0.04,5.17,78.47,0.25,42.86,0.14,25,0.07,6.17,72.67,,
C. Adams,Torino,CF,28,2027-06-30,2514,"England, Scotland",right,175,1.97,1.5,57.14,3.19,26.97,0.22,0.11,0.93,1.17,1.79,0.32,0.32,1.83,43.14,17.647,0.47,30.77,1.58,52.27,7.05,36.04,2.79,0.75,0.14,12.71,1.22,16.43,75.38,2.97,59.04,15.25,77.93,0.79,54.55,17.17,0.05,0.61,0.07,0.29,2.04,66.67,0.57,37.5,0.07,50,0.5,1.68,76.6,,
S. Goglichidze,Empoli,RCB,20,2027-06-30,2521,Georgia,right,193,9.67,8,67.41,3,39.29,0.33,0.54,4,4.65,0.25,0,0.02,0.21,0,0,0.14,25,0.29,75,1.5,57.14,0.36,0.32,0.07,17.71,1.04,28.67,78.95,12.74,63.59,23.45,86.61,5.07,45.07,21.76,0.01,0.07,0,0.04,3.32,49.46,0.43,8.33,0.29,12.5,0.04,5.6,57.32,,
N. Barella,Internazionale,"RCMF, LCMF",28,2029-06-30,2526,Italy,right,172,5.37,4.93,60.9,1.93,46.15,0.33,0.11,2.15,3.18,2.07,0.11,0.09,1.48,22.5,7.5,1.82,38.78,1.59,51.16,6.63,41.9,1.37,1.74,0.19,47.02,1.15,57.69,85.16,17.82,73.39,50.54,89.88,5.48,54.73,18.88,0.16,1.41,0.44,0.89,9.11,71.14,4.22,50.88,1.89,35.29,1.67,8.74,84.32,,
M. Kempf,Como,LCB,30,2027-06-30,2534,Germany,left,186,7.92,5.47,71.43,5.29,66.44,0.26,0.71,3.84,5.55,0.5,0,0.04,0.36,20,0,0.18,60,0.36,90,1.46,53.66,0.53,0.53,0,35.16,0.53,49.01,88.84,19.68,78.88,43.47,94.04,5.36,47.68,20.26,0.03,0.21,0,0.14,6.43,69.61,0.82,34.78,0.75,42.86,0.32,8.13,72.05,,
N. Zortea,Cagliari,"RW, RWB, RAMF",25,2028-06-30,2550,Italy,right,175,5.61,5.33,60.93,1.94,36.36,0,0,2.36,2.6,4.59,0.18,0.08,1.02,31.03,17.241,4.02,42.98,4.13,61.54,8.75,39.52,1.06,2.08,0.39,17.29,0.71,24.95,71.43,7.31,66.18,19.13,78.78,2.36,61.19,19.63,0.1,0.64,0.04,0.28,2.29,67.69,3,52.94,0.14,0,0.28,5.68,65.84,,
Y. Mina,Cagliari,"RCB, CB",30,2025-06-30,2557,Colombia,right,195,13.69,9.43,72.01,5.84,63.86,0.28,1.02,6.65,7.67,0.49,0,0.06,0.63,38.89,0,0.04,100,0.25,71.43,2.68,55.26,1.2,0.84,0.07,26.05,1.65,44.1,88.83,16.51,78.46,40.48,91.91,3.59,53.92,19.61,0,0.07,0.04,0.04,3.91,66.67,0.49,42.86,0.18,60,0.25,5.03,66.43,,
B. Djimsiti,Atalanta,"RCB, CB, LCB",32,2026-06-30,2564,"Switzerland, Albania",right,190,9.06,6.39,70.88,4.42,62.7,0.24,0.56,4.35,5.9,0.6,0.04,0.07,0.35,40,10,0.63,50,0.18,80,0.98,50,0.98,1.19,0.07,36.79,0.6,52.69,89.34,17.66,79.32,48.48,92.4,3.58,54.9,18.62,0.02,0.18,0,0.11,5.86,76.05,0.91,73.08,0.11,33.33,0.56,7.3,69.23,,
T. Augello,Cagliari,"LWB, LB",30,2025-06-30,2568,Italy,left,180,6.45,5.5,54.14,2.66,59.21,0.12,0.11,3.36,3.91,2.91,0,0.01,0.21,0,0,4.73,42.22,1.44,58.54,3.71,41.51,0.35,1.82,0.42,28.6,0.35,39.6,76.81,15.91,70.26,28.88,87.01,6.17,55.11,20.39,0.15,1.47,0.07,0.7,5.36,67.32,4.28,53.28,0.28,50,0.46,10.48,71.57,,
Pablo Marí,Fiorentina,CB,31,2025-06-30,2571,Spain,left,193,10.12,6.51,69.89,3.61,64.08,0.17,0.91,5.43,6.64,0.28,0,0.02,0.21,16.67,0,0.07,100,0.21,83.33,0.95,55.56,0.21,0.28,0,34.66,0.18,47.85,91.66,16.21,80.78,42.85,95.34,4.94,59.57,20.99,0,0.07,0,0,4.55,72.31,0.25,28.57,0.18,40,0.04,6.93,70.2,,
Pedro Pereira,Monza,"RWB, RCB, RB",27,2025-06-30,2591,Portugal,right,185,7.88,7.64,57.27,2.12,32.79,0.44,0.31,3.13,3.63,1.63,0.03,0.05,0.42,50,8.333,2.08,41.67,1.04,50,3.2,39.13,1.18,1.32,0.21,24.14,0.31,31.89,82.24,10.94,70.48,26.5,89.78,3.54,49.02,19.76,0.04,0.45,0.03,0.24,2.99,73.26,1.81,51.92,0.24,14.29,0.31,5.66,61.35,,
N. Rovella,Lazio,"LDMF, LCMF, RDMF",23,2026-06-30,2594,Italy,right,179,8.36,7.11,57.56,1.14,30.3,0.43,0.14,3.96,5.42,1.01,0,0.06,0.87,28,0,0.73,33.33,0.52,60,3.19,42.39,0.42,1.6,0.42,45.28,0.83,61.06,91.48,17.14,81.78,55.86,94.91,4.55,57.25,18.83,0.04,0.56,0.28,0.28,8.54,81.71,1.91,47.27,0.87,40,0.62,7.25,80.86,,
M. Zaccagni,Lazio,"LAMF, LW",29,2029-06-30,2599,Italy,right,177,4.33,3.6,48.08,1.56,33.33,0.68,0.03,2.11,2.96,4.61,0.28,0.25,1.56,35.56,17.778,2.11,34.43,5.16,61.74,13.54,49.62,2.98,2.46,0.42,23.44,3.12,30.96,82.1,7.41,71.96,27.43,86.99,1.52,59.09,17.33,0.13,1.32,0.35,0.28,2.94,74.12,2.84,59.76,0.55,25,1.21,4.26,86.18,,
A. Izzo,Monza,"RCB, CB",33,2026-06-30,2607,Italy,right,183,10.01,7.84,62.56,4.73,38.69,0.21,0.93,4.94,6.07,0.41,0.03,0.02,0.21,33.33,16.667,0.28,37.5,0.35,60,1.73,60,0.28,0.31,0,32.21,1.52,47.02,90.01,15.91,77.01,40.67,93.8,6.08,67.05,20.14,0.03,0.28,0.03,0.07,3.38,75.51,0.52,46.67,0.24,42.86,0.14,6.84,60.61,,
M. Kean,Fiorentina,CF,25,2029-06-30,2607,"Italy, Côte d'Ivoire",right,182,2.17,1.97,50.88,2.97,43.02,0.04,0.03,1.14,1.43,3.45,0.59,0.58,3.04,46.59,19.318,0.35,40,3.59,52.88,11.77,31.38,3.31,1.17,0.28,7.91,1.66,8.8,76.08,1.21,60,7.91,78.6,0.55,62.5,14.47,0.04,0.38,0.07,0.24,0.62,66.67,0.48,57.14,0.07,0,0.41,0.62,72.22,,
M. Politano,Napoli,"RWF, RW",31,2027-06-30,2607,Italy,left,171,4.63,3.94,53.51,0.83,20.83,0.22,0.07,2.35,3,5.25,0.1,0.1,1.62,25.53,6.383,4.73,26.28,5.42,64.33,9.36,49.82,2.59,3.38,0.48,28.14,0.97,35.35,75.2,9.91,70.73,27.03,86.72,3.73,53.7,20.53,0.2,1.55,0.24,0.62,2.73,68.35,4.32,45.6,0.38,36.36,1.35,7.11,79.61,,
M. Locatelli,Juventus,"RDMF, LDMF, RCMF",27,2028-06-30,2622,Italy,right,185,8.82,5.39,54.78,2.13,54.84,1.39,0.62,4.87,6.82,1.06,0.03,0.03,0.69,35,5,0.45,53.85,0.86,56,3.02,42.05,0.41,1.13,0.03,58.28,0.62,71.36,90.67,26.33,83.57,62.92,93.73,8.03,68.38,19.67,0.05,0.51,0.14,0.17,13.15,83.55,2.13,54.84,0.58,52.94,0.93,14.28,85.58,,
R. Lukaku,Napoli,CF,31,2027-06-30,2626,"Belgium, Congo DR",left,192,1.68,1.61,42.55,2.88,44.05,0.18,0.14,0.86,1.1,1.54,0.41,0.46,1.85,37.04,22.222,0.41,16.67,1.44,50,11.76,26.24,3.8,0.55,0.14,8.4,1.2,14.36,75.66,2.67,56.41,13.61,78.09,0.34,50,13.28,0.09,0.86,0.24,0.51,1.06,58.06,0.82,45.83,0.24,28.57,1.03,0.93,77.78,,
Y. Fofana,Milan,"RDMF, RCMF, DMF",26,2028-06-30,2629,"France, Mali",right,185,7.22,6.33,66.49,1.34,38.46,0.05,0.24,2.98,4.03,0.99,0.03,0.05,1.16,14.71,2.941,0.45,38.46,0.99,41.38,4.14,39.67,0.48,1.71,0.31,34.58,0.55,46.15,86.42,15.17,74.04,42.79,89.92,2.94,41.86,18.2,0.08,0.58,0.62,0.34,8.32,72.43,2.02,50.85,0.96,28.57,0.92,7.46,77.98,,
Mario Gila,Lazio,"RCB, LCB",24,2027-06-30,2654,Spain,right,185,8.68,5.73,68.64,4.41,50.77,0.79,0.54,4.17,5.71,0.37,0.03,0.03,0.24,57.14,14.286,0.03,0,0.34,60,2.51,37.84,0.51,1.87,0.61,42.76,0.85,58.9,92.86,21.64,86.36,55.11,95.2,3.76,59.46,20.03,0.02,0.27,0.1,0.03,7.05,82.21,0.68,45,0.31,33.33,0.47,8.21,80.58,,
H. Nicolussi Caviglia,Venezia,"DMF, LCMF",24,2026-06-30,2666,Italy,right,184,7.43,6.25,55.14,1.76,53.85,0.3,0.17,3.75,4.69,1.52,0.14,0.06,1.62,37.5,8.333,0.47,28.57,1.35,52.5,5.23,40,0.34,0.64,0.03,24.47,1.05,35.95,83.47,11.61,68.9,31.33,88.36,4.22,53.6,19.4,0.1,0.68,0.17,0.14,5.81,70.35,1.15,47.06,0.34,30,0.47,6.35,69.15,,
G. Pezzella,Empoli,"LWB, LB",27,2026-06-30,2683,Italy,left,187,7.61,7.58,51.33,2.11,52.38,0.15,0.2,3.59,4.1,4.16,0,0.02,0.47,21.43,0,4.53,40,3.52,63.81,6.78,48.51,1.01,1.74,0.4,16.71,0.97,27.27,70.97,11.24,65.67,18.58,83.21,4.26,50.39,22.31,0.18,0.97,0.03,0.64,3.39,68.32,3.69,48.18,0.2,33.33,0.23,6.98,72.6,,
G. Kyriakopoulos,Monza,"LWB, LB",29,2026-06-30,2690,Greece,left,178,6.66,6.16,54.35,2.31,43.48,0.08,0.27,3.25,3.87,2.84,0.07,0.04,0.77,30.43,8.696,3.75,32.14,2.28,61.76,6.02,50.56,0.9,1.74,0.33,22.99,1.1,31.92,76.62,11.17,70.06,24.66,87.38,3.68,47.27,19.79,0.1,0.94,0.07,0.43,3.31,67.68,2.94,44.32,0.13,25,0.17,7.43,73.87,,
F. Anguissa,Napoli,RCMF,29,2025-06-30,2690,Cameroon,right,184,5.79,4.78,58.04,3.85,52.17,0,0.2,3.01,3.82,1.44,0.2,0.15,1.1,33.33,18.182,1,16.67,1.17,74.29,5.05,39.74,2.04,0.77,0.07,33.46,0.97,43.13,86.66,11.54,78.84,40.28,90.2,1.87,46.43,15.54,0.09,0.47,0.07,0.23,4.99,79.19,1.17,45.71,0.3,44.44,0.6,5.12,69.93,,
L. Martínez,Internazionale,CF,27,2029-06-30,2707,Argentina,right,174,3.93,3.14,57.14,3,37.93,0.83,0.03,1.59,2.38,2.52,0.4,0.55,3.14,36.26,13.187,0.69,20,2.1,50.82,7.76,37.33,4.66,1.31,0.21,16.93,1.38,20.28,76.87,4.03,63.25,18.62,79.26,1,72.41,16.13,0.13,1.03,0.31,0.59,2,70.69,1.31,55.26,0.28,37.5,1.31,2.03,66.1,,
T. Hernández,Milan,LB,27,2026-06-30,2726,"France, Spain",left,184,6.54,4.62,63.57,1.95,72.88,0.18,0.33,3.47,4.75,2.08,0.13,0.09,1.22,32.43,10.811,1.72,36.54,1.85,55.36,4.46,48.89,1.62,2.91,0.89,31,1.39,40.25,86.71,13.44,82.06,36.71,90.92,1.82,49.09,17.13,0.12,1.02,0.13,0.33,4.29,81.54,2.11,64.06,0.46,42.86,0.96,6.57,73.37,,
S. Lobotka,Napoli,"DMF, LCMF",30,2027-06-30,2747,Slovakia,right,170,6.78,4.65,60.56,0.59,50,0.17,0.39,3.83,5.12,0.29,0,0.01,0.2,0,0,0.07,50,0.33,70,2.39,52.05,0.16,1.11,0.2,40.13,0.95,55.27,92.06,14.87,81.94,51.63,93.21,3.57,76.15,17.63,0.03,0.36,0.1,0.07,5.08,87.1,1.15,68.57,0.36,36.36,0.69,6.42,76.02,,
