Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
N. Estévez,Parma,"DMF, RDMF, LCMF",29,2026-06-30,686,"Argentina, Spain",right,181,9.71,6.95,54.72,1.97,66.67,0.15,0.26,5.77,6.57,0.66,0,0.02,0.52,25,0,0.92,28.57,0.52,50,2.1,62.5,0.13,0.26,0,23.48,1.31,35.29,82.53,12.86,67.35,31.62,86.72,2.76,52.38,17.9,0.04,0.26,0.13,0.26,4.33,60.61,1.44,27.27,0.39,33.33,0,6.03,73.91,,
M. Taremi,Internazionale,CF,32,2027-06-30,686,Iran,right,186,3.15,2.62,45,5.77,43.18,0,0,1.97,3.36,1.44,0.13,0.36,1.57,41.67,8.333,0.13,100,1.31,50,5.51,35.71,4.07,0.92,0.26,17.32,0.92,21.91,85.63,3.41,65.38,21.25,87.04,0.52,25,12.88,0.1,1.05,0.39,0.13,1.05,87.5,1.57,58.33,0.26,0,1.57,2.1,75,,
M. Aebischer,Bologna,"LCMF, LDMF, RDMF",28,2027-06-30,707,Switzerland,right,183,5.73,6.75,45.28,1.91,26.67,1.1,0.13,2.04,3.53,1.15,0,0.09,1.27,40,0,0.51,75,0.38,66.67,3.18,64,1.02,0.76,0,33.1,1.78,42.52,88.62,10.69,71.43,40.1,90.48,1.91,53.33,19.12,0.04,0.25,0.13,0,5.73,80,0.89,42.86,0.51,0,0.13,3.69,62.07,,
Oier Zarraga,Udinese,"RCMF, LCMF, RW",26,2027-06-30,715,Spain,right,175,5.79,6.17,55.1,2.39,15.79,0.16,0.38,2.27,2.92,0.88,0,0.01,0.25,0,0,1.64,23.08,1.26,40,2.9,52.17,0.13,0.63,0.13,18.38,0.88,27.31,82.95,7.05,66.07,23.66,90.96,2.01,37.5,15.3,0.13,0.76,0,0.25,3.78,83.33,2.14,41.18,0,0,0.38,4.66,62.16,,
C. Gytkjær,Venezia,CF,34,2025-06-30,717,Denmark,right,185,1.51,1.63,53.85,9.04,26.39,0.21,0.13,0.5,0.83,0.38,0.25,0.33,1.13,33.33,22.222,0,0,0.38,0,6.4,11.76,2.13,0.13,0,8.54,0.5,13.05,65.38,2.13,41.18,12.68,65.35,0.38,66.67,10.44,0,0.38,0.25,0,0.75,33.33,0.75,33.33,0.38,0,0.63,0.75,83.33,,
Junior Messias,Genoa,"CF, RCMF, RWB",33,2025-06-30,721,"Brazil, Italy",left,174,4.99,3.62,62.07,5.12,36.59,0.36,0.25,2.5,3.55,4.24,0.12,0.38,2,37.5,6.25,2.75,31.82,4.74,52.63,11.23,41.11,1.62,3.62,1.25,14.85,1.75,20.97,70.83,5.74,69.57,17.35,78.42,1,50,18.2,0.03,0.5,0.12,0.25,3,58.33,2.62,42.86,0.37,33.33,0.37,3.87,80.65,,
N. Zaniolo,Fiorentina,"CF, RAMF",25,2027-06-30,730,Italy,left,190,2.22,3.33,33.33,3.21,26.92,0.39,0,0.86,1.38,4.19,0.25,0.34,2.34,52.63,10.526,1.48,33.33,4.07,54.55,17.01,39.13,2.96,1.48,0.99,14.3,3.58,19.6,81.76,4.19,82.35,17.26,86.43,0.99,62.5,17.28,0.14,1.11,0.25,0.62,1.6,76.92,1.97,43.75,0.37,66.67,1.36,2.47,75,,
A. Tamèze,Torino,"LCMF, RCMF",31,2026-06-30,732,"France, Cameroon",right,180,4.67,3.44,39.29,2.7,45.45,0.15,0.61,3.2,3.96,1.35,0,0.03,0.61,60,0,1.11,33.33,0.74,83.33,4.67,39.47,1.48,2.09,0.25,27.66,0.61,36.02,88.05,8.24,80.6,33.2,90.74,1.72,71.43,15.62,0.08,0.61,0.12,0.25,3.2,73.08,1.48,50,0.25,50,0.49,4.06,75.76,,
M. Folorunsho,Fiorentina,"LW, RAMF, RW",27,2029-06-30,737,"Italy, Nigeria",right,185,8.3,8.06,60.61,4.76,51.28,0.82,0.12,2.81,3.79,2.56,0,0.04,0.49,50,0,2.56,33.33,4.15,35.29,11.11,36.26,1.22,0.85,0.37,17.46,2.81,27.11,75.23,7.2,69.49,23.08,81.48,1.59,46.15,16.62,0.04,0.37,0,0.24,2.93,62.5,2.2,44.44,0.12,0,0.37,4.76,61.54,,
O. Solbakken,Empoli,"CF, RWF, AMF",26,2027-06-30,745,Norway,left,189,2.78,2.9,54.17,3.87,31.25,0.14,0,1.09,1.23,1.09,0,0.08,0.48,75,0,0.72,16.67,1.69,35.71,4.35,30.56,1.81,1.21,0.48,14.62,0.24,19.45,77.02,4.47,72.97,16.67,79.71,2.05,76.47,19.5,0.01,0.48,0,0,1.93,68.75,1.33,45.45,0.24,50,0.85,3.38,75,,
