Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
A. Doughty,Luton Town,"LWB, LB",24,,3213,England,left,183,7.59,6.13,52.97,1.18,40.48,0.2,0.22,4.17,5.07,3.95,0.06,0.04,0.7,32,8,4.45,35.22,3.36,62.5,5.1,52.75,1.99,1.99,0.9,21.96,0.28,33.33,73.19,10.34,63.41,25.49,84.18,3.78,42.22,21.46,0.24,1.76,0.06,0.42,3.81,48.53,3.36,49.17,0.2,42.86,0.53,6.75,72.2,0,0,,,
A. Townsend,Luton Town,"RW, RWF, AMF",33,2026-06-30,1364,England,left,181,5.74,6.47,53.06,0.86,7.69,0.08,0,2.24,2.67,4.42,0.07,0.11,1.32,35,5,4.55,33.33,4.88,50,10.89,34.55,1.65,2.64,0.79,16.5,0.79,26.79,74.38,5.81,68.18,19.86,85.38,2.38,61.11,19.58,0.12,1.12,0,0.53,2.84,69.77,3.56,50,0.2,33.33,0.59,4.49,83.82,0,0,,,
T. Kaminski,Luton Town,GK,32,2025-06-30,3830,"Belgium, Poland",right,190,1.86,0.26,54.55,0.16,85.71,0,0,1.72,2.06,0.07,0,0,0,0,0,0,0,0.09,75,0.16,71.43,0,0,0,14.52,0.02,20.8,79.66,14.83,73.22,9.09,97.93,11.61,65.99,36.8,0,0,0,0,4.14,59.66,0.14,16.67,0.16,28.57,0.05,8.58,79.18,64.88,1.94,-2.25,-0.053,0.73
R. Barkley,Luton Town,"LCMF, RCMF",30,,2933,England,right,189,6.69,4.85,56.33,2.85,50.54,0.75,0.25,3.34,4.06,2.58,0.15,0.13,1.93,30.16,7.937,0.46,20,3.53,50.43,10.03,39.45,0.98,1.66,0.52,24.46,1.2,39.15,86.76,12.73,80.96,35.35,90.54,3.34,55.96,18.4,0.12,0.89,0.25,0.31,5.89,78.65,1.6,65.38,0.64,42.86,1.01,6.01,73.98,0,0,,,
J. Clark,Luton Town,"RCMF, RWF, LCMF",31,,1475,England,right,183,8.97,6.96,68.42,1.95,50,0.82,0.18,3.6,4.86,2.62,0.06,0.09,0.92,26.67,6.667,1.46,33.33,3.48,50.88,8.18,41.79,1.89,1.4,0.67,17.57,1.59,28.68,74.68,8.85,62.07,24.35,79.45,2.99,55.1,15.47,0.07,0.61,0.18,0.43,2.87,51.06,2.56,54.76,0.49,37.5,1.04,4.33,66.2,0,0,,,
P. Mpanzu,Luton Town,"RCMF, LCMF",30,2025-06-30,1275,"England, Congo DR",right,175,6,3.53,66,2.82,25,0.34,0.56,3.39,4.07,1.55,0,0.04,0.64,11.11,0,1.06,40,1.13,81.25,4.87,53.62,0.78,0.49,0.07,14.75,0.99,23.44,76.81,6.71,62.11,20.26,81.53,2.19,51.61,17.64,0.06,0.35,0.14,0.28,2.47,57.14,2.05,65.52,0.14,50,0.92,3.88,60,0,0,,,
A. Bell,Luton Town,"LCB, LB",30,,1930,"England, Jamaica",left,180,10.73,8.81,62.96,2.05,50,0.06,0.84,5.13,6.21,1.54,0,0.01,0.09,100,0,0.7,26.67,1.77,68.42,4.29,46.74,0.28,1.96,0.51,21.54,0.7,36.14,82.19,17.86,75.46,31.34,87.35,4.1,52.27,18.44,0.02,0.28,0.09,0.05,4.66,68,1.31,46.43,0.33,57.14,0.37,6.58,65.25,0,0,,,
C. Morris,Luton Town,CF,28,,3190,England,right,185,2.99,2.34,46.99,9.82,38.51,0.03,0.11,1.86,2.25,2.17,0.31,0.32,1.72,49.18,18.033,0.65,17.39,1.95,62.32,8.77,31.83,2.96,0.99,0.25,10.69,1.16,17.29,72.43,4.09,51.72,16.05,75.4,0.62,50,16.39,0.03,0.28,0.03,0.2,1.95,53.62,0.79,46.43,0.08,0,0.51,1.58,53.57,0,0,,,
C. Ogbene,Luton Town,"RWB, LW, LWF",27,2028-06-30,2265,"Nigeria, Republic of Ireland",right,181,5.44,4.09,67.96,2.46,45.16,0.05,0.04,2.62,3.33,6.12,0.16,0.21,1.47,40.54,10.811,3.81,33.33,6.72,62.13,12.44,51.12,3.18,4.61,1.79,18.44,1.95,27.42,78.99,6.2,70.51,22.81,87.8,0.95,45.83,16.54,0.16,0.99,0.16,0.52,1.59,75,3.02,51.32,0.12,33.33,0.87,4.45,69.64,0,0,,,
T. Chong,Luton Town,"LWF, LW, LCMF",24,2026-06-30,2205,"Curaçao, Netherlands",left,185,5.43,5.35,61.83,1.43,20,0.15,0.29,2,2.43,3.18,0.16,0.15,1.18,24.14,13.793,1.76,32.56,3.96,53.61,10.45,46.48,1.92,2.29,1.35,14.78,2.65,21.22,79.81,5.63,71.74,18.61,85.09,1.02,56,17.69,0.05,0.41,0.37,0.24,2.04,68,1.88,56.52,0.2,60,0.49,3.02,67.57,0,0,,,
G. Osho,Luton Town,"CB, LCB",26,2025-06-30,2081,"England, Nigeria",right,185,12.46,8.95,71.98,3.76,57.47,0.6,0.86,5.54,6.98,0.74,0.09,0.06,0.48,27.27,18.182,0.17,50,0.78,61.11,2.29,41.51,0.61,0.61,0.09,16.52,0.61,29.54,85.51,11.55,73.03,26.12,90.73,3.24,45.33,20.91,0.01,0.04,0.13,0,2.9,55.22,0.3,14.29,0.39,11.11,0.04,4.2,53.61,0,0,,,
E. Adebayo,Luton Town,CF,26,,1614,"England, Nigeria",right,193,4.41,4.41,50.63,5.3,44.21,0,0.22,2.17,2.81,2.17,0.56,0.37,1.56,50,35.714,0.39,14.29,4.46,28.75,12.27,22.73,3.35,1.34,0.33,8.42,0.95,10.71,76.04,2.17,64.1,10.2,78.69,0.11,50,11.77,0.03,0.39,0.06,0.06,0.95,58.82,0.56,50,0.06,100,0.33,0.72,69.23,0,0,,,
A. Sambi Lokonga,Luton Town,"RCMF, LCMF",25,2026-06-30,1445,"Belgium, Congo DR",right,183,7.22,6.04,59.79,1.74,53.57,0.17,0.56,3.49,4.75,0.81,0.06,0.02,0.44,28.57,14.286,0.5,25,1.37,40.91,4.86,44.87,0.5,1.62,0.06,29.21,1.56,43.16,89.61,13.33,83.18,39.18,92.85,3.49,62.5,18.26,0.06,0.44,0,0.19,5.98,81.25,1.37,36.36,0.37,66.67,0.31,5.36,75.58,0,0,,,
J. Brown,Luton Town,"RWF, RW, LWF",26,2027-06-30,1157,"England, Scotland",right,178,7.93,7,54.44,8.01,44.66,0.45,0.08,3.73,4.27,2.41,0.16,0.23,1.79,30.43,8.696,1.32,17.65,2.64,61.76,8.79,45.13,3.89,1.48,0.39,9.96,1.48,15.71,63.37,5.52,53.52,12.99,71.86,1.48,31.58,21.96,0.04,0.39,0.08,0.39,2.02,38.46,0.54,57.14,0.08,0,0.31,2.64,32.35,0,0,,,
T. Mengi,Luton Town,"RCB, CB",22,,2786,"England, Angola",right,186,10.56,6.49,68.66,4.23,51.15,0.59,0.81,5.62,6.89,0.58,0.03,0.03,0.32,40,10,0.06,50,0.55,76.47,1.74,42.59,0.61,0.48,0.03,16.7,0.26,28.62,83.07,10.73,68.07,24.1,90.08,4.49,46.04,22.26,0,0.03,0.06,0,4.07,52.38,0.36,36.36,0.36,27.27,0.19,5.07,64.97,0,0,,,
J. Gvardiol,Manchester City,LB,22,2028-06-30,2583,Croatia,left,185,8.43,6.13,65.91,2.16,45.16,0.57,0.35,4.04,6.64,2.02,0.14,0.12,1.05,46.67,13.333,1.43,19.51,1.78,64.71,5.12,48.3,1.81,2.06,0.38,47.56,0.77,58.85,88.63,17.04,80.98,55.61,91.54,1.81,53.85,16.56,0.05,0.38,0.28,0.24,7.39,80.66,1.57,42.22,0.49,35.71,0.59,8.01,75.22,0,0,,,
R. Lewis,Manchester City,"RB, RDMF, RCMF",19,2028-06-30,913,England,right,169,5.42,4.83,63.27,0.79,12.5,0.17,0,2.27,3.9,1.18,0.2,0.08,0.49,60,40,0.49,60,0.69,28.57,4.73,52.08,2.66,1.48,0.69,41.8,1.97,50.08,92.52,7.2,75.34,48.01,93.84,1.58,62.5,13.53,0.09,0.99,0.69,0.39,3.06,96.77,1.18,75,0.69,57.14,1.97,2.76,57.14,0,0,,,
Matheus Nunes,Manchester City,"RDMF, LDMF, LW",26,2028-06-30,959,"Brazil, Portugal",right,183,5.82,5.26,62.5,2.25,29.17,0.45,0.09,2.25,3.6,4.22,0,0.1,0.94,40,0,2.16,52.17,4.32,56.52,11.07,44.92,4.22,2.91,1.5,40.54,1.97,48.71,87.86,10.6,81.42,45.05,91.46,1.6,35.29,14.77,0.13,0.94,0.75,0.28,3.57,76.32,3.28,71.43,0.56,16.67,2.16,4.69,78,0,0,,,
J. Álvarez,Manchester City,"CF, AMF",24,2030-06-30,2904,Argentina,right,170,4.49,4.71,57.24,0.9,20.69,0.05,0.03,1.77,3.03,2.91,0.34,0.39,2.94,42.11,11.579,1.67,29.63,1.77,56.14,4.46,37.5,4.06,1.49,0.59,27.83,0.37,33.1,86.99,5.8,76.47,30.84,90.65,0.68,54.55,14.56,0.24,1.7,0.62,0.68,1.74,78.57,2.57,60.24,0.71,30.43,1.58,3.01,80.41,0,0,,,
J. Doku,Manchester City,"LAMF, LW, LWF",22,2028-06-30,1791,"Belgium, Ghana",right,173,5.78,5.28,72.38,0.35,14.29,0.18,0,1.86,3.29,11.06,0.15,0.21,2.56,31.37,5.882,4.67,25.81,14.42,61.32,22.21,49.77,9.6,8.59,1.41,32.46,1.56,42.36,82.44,4.62,67.39,37.29,89.35,0.45,100,15.95,0.26,2.06,0.55,1.11,0.95,89.47,3.77,65.33,0.35,28.57,3.37,3.42,82.35,0,0,,,
K. Walker,Manchester City,RB,34,2026-06-30,3099,England,right,183,5.9,4.39,61.59,1.34,60.87,0.28,0.15,3.02,4.91,1.51,0,0.01,0.46,18.75,0,1.95,35.82,0.99,64.71,3.02,45.19,1.1,2.09,0.93,51.49,0.49,61.68,90.58,16.15,81.12,56.28,94.63,3.6,54.84,18.35,0.07,0.55,0.32,0.35,8.45,81.1,2.24,51.95,0.67,52.17,0.84,7.29,81.27,0,0,,,
K. De Bruyne,Manchester City,"AMF, RCMF",33,2025-06-30,1329,Belgium,right,181,4,3.72,60,1.08,50,0.12,0.07,1.69,2.91,5.55,0.27,0.17,3.05,37.78,8.889,5.62,33.73,3.05,48.89,7.38,38.53,4.81,2.64,1.08,49.64,0.88,56.68,80.53,14.29,70.62,49.5,86.73,2.03,50,17.29,0.52,2.98,2.71,1.69,5.49,79.01,7.92,54.7,2.17,43.75,3.66,7.65,87.61,0,0,,,
S. Ortega,Manchester City,GK,31,2026-06-30,724,"Germany, Spain",right,185,1.37,0,0,0.25,100,0,0,1.37,2.36,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0,20.51,0.12,26.98,85.25,14.67,77.12,18.77,98.01,8.2,56.06,28.39,0,0,0,0,1.12,44.44,0,0,0.12,0,0,5.59,55.56,73.08,0.98,0.91,0.113,1.24
M. Kovačić,Manchester City,"LDMF, LCMF, RDMF",30,2027-06-30,1746,Croatia,right,177,6.08,4.59,69.66,0.77,33.33,1.09,0.1,2.22,3.61,2.11,0.05,0.1,1.08,23.81,4.762,0,0,2.27,63.64,6.03,41.03,0.88,2.06,0.62,65.1,0.77,75.77,94.29,16.29,83.86,74.23,95.21,1.55,50,14.93,0.04,0.72,1.03,0.1,7.78,90.07,1.65,53.13,1.24,45.83,1.03,5.82,86.73,0,0,,,
N. Aké,Manchester City,"LCB, LB",29,2027-06-30,2284,"Netherlands, Côte d'Ivoire",left,180,6.03,4.1,67.31,3.31,52.38,0.53,0.04,2.96,5,0.71,0.08,0.11,0.59,26.67,13.333,0.55,28.57,0.47,75,1.14,65.52,1.26,1.38,0.12,55.25,0.71,66.55,94.08,25.14,90.28,63.76,96.29,2.25,47.37,15.82,0.03,0.32,0.12,0.2,6.97,90.4,0.75,52.63,0.28,42.86,0.35,6.94,78.98,0,0,,,
J. Stones,Manchester City,"LCB, RCB, DMF",30,2026-06-30,1185,England,right,188,4.78,2.35,51.61,2.05,66.67,0.25,0.61,3.42,5.56,0.38,0.08,0.03,0.23,66.67,33.333,0.38,20,0.46,33.33,1.97,26.92,0.84,1.82,0.3,50.51,0.3,60.53,94.1,14.81,87.18,57.27,96.02,2.89,65.79,15.91,0,0.15,0.08,0.08,6.99,88.04,0.61,25,0.08,0,0.08,4.71,80.65,0,0,,,
Ederson,Manchester City,GK,31,2026-06-30,3098,"Brazil, Portugal",left,188,1.34,0.09,33.33,0.29,70,0.14,0,1.22,2.02,0,0,0,0,0,0,0,0,0.03,0,0.15,40,0,0,0,23.42,0.12,28.59,91.97,14.96,87.18,22.4,98.44,6.19,68.54,26.99,0,0,0,0.03,1.89,56.92,0.15,0,0.32,18.18,0,4.27,74.15,68.24,0.8,0.55,0.016,0.96
J. Grealish,Manchester City,"LAMF, LW",29,2027-06-30,1160,"England, Republic of Ireland",right,180,4.42,3.41,54.55,0.7,44.44,0.41,0.16,2.33,4.15,4.73,0.23,0.14,1.55,30,15,1.94,28,5.43,64.29,13.73,48.02,5.51,5.43,0.62,34.6,3.03,43.06,87.21,7.76,74,39.72,90.43,1.55,75,17.36,0.13,1.71,0.54,0.78,1.71,72.73,3.03,58.97,0.54,28.57,3.03,2.79,88.89,0,0,,,
Rúben Dias,Manchester City,"RCB, LCB",27,2027-06-30,2875,Portugal,right,187,6.67,4.26,69.85,3.63,47.41,0.21,0.53,3.57,6.1,0.47,0,0.06,0.53,41.18,0,0.38,50,0.06,100,0.69,63.64,0.78,2.6,0.03,64.08,0.47,78.07,94.87,22.82,89.71,73.38,96.67,4.35,68.35,18.1,0.01,0.13,0.06,0.09,9.33,90.6,0.72,56.52,0.38,50,0.31,6.79,74.65,0,0,,,
Bernardo Silva,Manchester City,"RAMF, RW, LDMF",30,2026-06-30,2880,Portugal,left,173,5.78,4.59,58.5,0.59,15.79,0.61,0.13,2.72,4.42,2.94,0.19,0.12,1.06,44.12,17.647,3.06,30.61,2.75,52.27,6.69,38.32,4.44,3.47,0.81,47.91,0.78,57.25,87.5,11.47,76.02,51.28,92.44,2.91,60.22,17.26,0.19,1.75,0.53,0.88,3.97,73.23,3.22,53.4,0.78,16,1.69,5.41,80.92,0,0,,,
M. Akanji,Manchester City,"RCB, LCB",29,2027-06-30,2798,"Switzerland, Nigeria",right,187,6.69,4.57,66.2,2.38,56.76,0.21,0.39,3.54,5.73,0.45,0.06,0.06,0.39,41.67,16.667,0.39,25,0.39,33.33,1.87,58.62,0.74,2.06,0.32,56.71,0.61,70.76,94.64,21.62,89.29,66.78,96.29,3.6,71.43,16.71,0.02,0.19,0.13,0.06,8.2,89.02,0.96,53.33,0.29,22.22,0.35,6.21,81.35,0,0,,,
Rodri,Manchester City,"RDMF, DMF, LDMF",28,2027-06-30,3263,Spain,right,191,7.45,5.57,59.9,2.65,68.75,0.14,0.22,4.03,6.89,2.23,0.22,0.15,1.68,36.07,13.115,0.44,31.25,1.93,64.29,6.1,44.34,1.79,2.4,0.28,79.49,0.97,95.19,93.31,23.44,85.41,85.89,95.18,8.88,78.26,17.78,0.09,1.02,0.66,0.5,13.54,88.19,3.06,61.26,1.3,34.04,1.82,9.68,88.32,0,0,,,
E. Haaland,Manchester City,CF,24,2027-06-30,2833,"England, Norway",left,195,1.62,1.33,57.14,3.18,41,0,0.03,0.86,1.41,2.48,0.86,0.92,3.56,51.79,24.107,0.32,20,1.21,42.11,6.23,34.69,5.34,0.64,0.35,9.4,1.02,11.4,80.22,1.62,60.78,10.99,82.08,0.1,66.67,12.08,0.1,0.48,0.19,0.29,0.57,83.33,0.54,47.06,0.16,40,0.79,0.51,62.5,0,0,,,
P. Foden,Manchester City,"AMF, RAMF, RW",24,2027-06-30,3150,England,left,171,4.57,3.6,57.94,0.66,30.43,0.33,0,2.29,3.72,4.6,0.54,0.32,2.97,48.08,18.269,1.43,30,4.4,56.49,9.8,46.94,4.4,2.46,1.11,41.46,1.69,48.2,88.68,8.4,76.87,45.09,91.51,1.71,61.67,15.12,0.18,1.43,0.66,0.77,3.4,78.15,2.69,62.77,0.74,26.92,2.14,4.37,78.43,0,0,,,
L. Shaw,Manchester United,"LB, LCB",29,2027-06-30,1061,England,left,181,9.92,6.96,63.41,2.63,67.74,0.21,0.93,5.34,6.65,1.53,0,0.02,0.17,0,0,1.7,40,1.27,60,3.14,37.84,0.85,1.02,0.59,30.28,0.25,44.79,87.5,18.58,81.28,39.44,93.12,3.65,48.84,17.57,0.09,0.93,0.34,0.34,4.33,72.55,1.7,55,0.85,20,0.51,6.62,67.95,0,0,,,
L. Martínez,Manchester United,LCB,26,2027-06-30,718,Argentina,left,178,9.65,6.64,64.15,1.5,33.33,0.93,0.88,4.64,5.72,0.38,0,0,0,0,0,0.38,0,0.5,75,2.01,68.75,0.25,1.25,0.25,36.48,0.38,50.64,92.33,17.05,85.29,47.01,96,3.38,48.15,17.74,0.02,0.5,0,0,6.27,74,0.63,20,1,12.5,0.13,5.14,70.73,0,0,,,
J. Evans,Manchester United,"LCB, RCB",36,2025-06-30,1559,Northern Ireland,right,188,10.45,6.29,68.81,3.64,57.14,0.21,0.98,5.95,7.22,0.23,0,0.03,0.12,50,0,0,0,0.46,37.5,1.56,40.74,0.35,0.58,0,31.81,0.64,43.82,87.35,15.01,73.46,39.6,93.15,4.21,32.88,16.61,0.02,0.29,0,0.06,3.64,55.56,0.52,33.33,0.52,11.11,0.12,5.72,46.46,0,0,,,
V. Lindelöf,Manchester United,"LB, LCB, RCB",30,2025-06-30,1483,Sweden,right,187,8.31,6.19,55.88,2.91,47.92,0.38,0.67,4.55,5.63,0.24,0.06,0.12,0.36,66.67,16.667,0.12,0,0.06,0,1.34,31.82,0.67,0.73,0.12,36.17,0.12,48.91,91.56,16.02,84.47,46.12,94.47,2.67,45.45,17.64,0.01,0.36,0.06,0.06,5.04,89.16,0.49,75,0.18,33.33,0.36,5.83,67.71,0,0,,,
R. Varane,Manchester United,"RCB, LCB",31,2026-06-30,1565,"France, Martinique",right,191,9.95,4.77,74.7,2.13,56.76,0,0.98,6.38,7.71,0.29,0.06,0.07,0.46,25,12.5,0.06,100,0.12,0,0.81,14.29,0.63,1.44,0.06,27.78,0.17,39.8,90.17,15.12,80.61,36.29,94.14,3.45,48.33,18.64,0.01,0.06,0.12,0.06,5.81,85.15,0.17,66.67,0.23,75,0,5.81,63.37,0,0,,,
M. Rashford,Manchester United,"LAMF, CF, LW",26,2028-06-30,2518,"England, St. Kitts and Nevis",right,186,3,3.15,50,1.79,40,0.18,0.11,1.29,1.6,4.25,0.25,0.25,2.14,36.67,11.667,1.54,39.53,5.5,50.65,9.11,38.04,3.54,3.4,1.36,21.37,0.68,25.27,77.93,6.08,60,22.02,82.63,1.75,51.02,15.86,0.12,0.68,0.32,0.43,2.11,62.71,2.72,55.26,0.61,23.53,1.57,3.9,73.39,0,0,,,
K. Mainoo,Manchester United,"RDMF, LDMF, LCMF",19,2027-06-30,2072,"England, Ghana",right,175,8.56,6.12,70.21,2.13,36.73,0.63,0.43,3.74,4.55,1.78,0.13,0.04,0.43,50,30,0.43,20,2.39,54.55,6.73,42.58,0.91,0.83,0.09,27.28,0.91,36.57,87.41,9.64,75.68,34.4,90.03,1.74,52.5,14.98,0.02,0.56,0.26,0.04,3.78,79.31,1.04,41.67,0.48,36.36,0.43,4.13,57.89,0,0,,,
A. Garnacho,Manchester United,"LAMF, LW, RAMF",20,2028-06-30,2822,"Spain, Argentina",right,180,5.74,5.17,56.17,1.34,23.81,0.45,0,2.49,3.21,5.39,0.22,0.32,2.97,27.96,7.527,3.06,20.83,6.54,58.54,11.99,45.48,6.44,5.13,2.01,22.48,1.63,28.45,77.24,4.59,68.06,24.46,85.4,1.05,42.42,16.57,0.17,1.34,0.22,0.48,1.08,82.35,1.47,47.83,0.13,25,1.18,2.62,47.56,0,0,,,
R. Højlund,Manchester United,CF,21,2028-06-30,2375,Denmark,left,187,2.96,2.8,66.22,3.68,16.49,0.1,0.04,1.02,1.33,2.08,0.38,0.35,1.4,59.46,27.027,0.3,25,1.78,55.32,9.63,29.13,2.96,0.91,0.61,9.02,1.1,13.68,80.06,2.35,82.26,13.26,81.14,0.15,75,12.3,0.06,0.76,0.27,0.34,0.99,80.77,0.68,77.78,0.15,50,0.91,1.14,76.67,0,0,,,
Antony,Manchester United,"RAMF, RW",24,2027-06-30,1515,Brazil,left,174,7.49,6.12,58.25,1.54,15.38,0.9,0.12,3.27,4.5,4.75,0.06,0.26,2.32,38.46,2.564,1.19,35,5.05,55.29,9.5,44.38,2.97,3.45,1.19,25.72,1.9,34.04,81.68,7.49,70.63,31.6,84.21,1.25,61.9,13.73,0.16,1.31,1.19,0.71,2.44,68.29,2.85,64.58,1.07,55.56,1.72,4.99,77.38,0,0,,,
C. Eriksen,Manchester United,"LDMF, LCMF",32,2025-06-30,1306,Denmark,right,181,8.13,6.06,67.05,0.76,27.27,0,0.34,4.07,5.4,1.24,0.07,0.08,0.9,30.77,7.692,1.65,33.33,0.48,42.86,2.07,30,0.76,0.83,0.34,37.63,0.28,49.62,85.28,12.47,71.27,44.17,90.02,3.86,53.57,17.33,0.14,1.38,0.41,0.55,7.51,71.56,3.03,56.82,1.1,50,1.31,6.2,80,0,0,,,
Casemiro,Manchester United,"DMF, RDMF, RCB",32,2026-06-30,2226,"Brazil, Spain",right,185,14.15,8.65,60.75,2.99,55.41,1.78,1.01,7.44,9.11,1.09,0.04,0.15,1.25,32.26,3.226,0.73,33.33,0.4,70,2.18,35.19,1.33,0.24,0,41,0.4,54.46,84.26,20.78,72.37,46.46,89.56,7.28,55.56,18.98,0.02,0.28,0.32,0.16,8.85,69.41,1.98,42.86,1.62,30,0.65,9.91,71.02,0,0,,,
H. Maguire,Manchester United,"RCB, LCB",31,2025-06-30,1900,England,right,194,9.43,5.16,71.56,4.59,63.92,0.39,0.99,5.45,7.5,0.47,0.09,0.1,0.62,23.08,15.385,0.19,50,0.33,71.43,1.47,32.26,1.23,1.14,0.38,31.78,0.47,45.76,87.37,18.57,77.04,38.7,92.53,6.92,59.59,20.69,0.01,0.05,0.05,0,6.73,74.65,0.81,35.29,0.71,20,0.19,8.1,76.02,0,0,,,
Bruno Fernandes,Manchester United,"AMF, CF, LCMF",29,2027-06-30,3519,Portugal,right,179,7.77,6.34,57.66,1.3,39.22,0.69,0.13,3.58,4.59,3.3,0.26,0.26,2.4,42.55,10.638,3.2,28.8,1.51,52.54,4.65,41.21,2.3,1.43,0.59,36.62,0.74,47.7,79.14,16.19,71.25,38.16,86.73,6.5,58.66,19.61,0.29,2.2,1.48,0.87,7.39,71.97,5.06,58.08,2.12,37.35,2.05,9.21,80.28,0,0,,,
S. Amrabat,Manchester United,"LDMF, RCMF, DMF",28,2025-06-30,1081,"Netherlands, Morocco",right,183,9.32,8.58,53.4,1.5,33.33,0.78,0.42,4.16,5.6,1.08,0,0.01,0.25,0,0,0.67,25,0.67,100,4.16,38,0,0.67,0.42,38.63,0.92,51.87,87.64,13.57,82.21,47.29,90.49,4,62.5,17.48,0.05,0.33,0.25,0.17,6.33,85.53,1.17,42.86,0,0,0.5,5.83,67.14,0,0,,,
A. Onana,Manchester United,GK,28,2028-06-30,3862,Cameroon,right,190,1.24,0.07,100,0.47,80,0.03,0,1.14,1.45,0.05,0,0,0,0,0,0,0,0.05,100,0.09,100,0,0,0,17.92,0.09,26.68,83.84,14.77,73.66,17.13,98.1,9.51,58.58,31.24,0,0,0,0,2.91,49.6,0.12,60,0.58,48,0.02,6.8,68.15,72.64,1.61,10.87,0.253,1.35
Diogo Dalot,Manchester United,"RB, LB",25,2028-06-30,3590,Portugal,right,184,8.75,6.42,58.2,1.93,45.45,0.54,0.35,4.59,5.81,2.36,0.05,0.02,0.7,28.57,7.143,2.23,38.2,2.13,60,3.74,50.34,1.15,1.1,0.55,27.3,0.38,38.78,83.71,12.89,75.29,32.89,89.94,3.79,54.97,18.94,0.06,0.7,0.03,0.38,3.91,75,2.03,51.85,0.35,35.71,0.4,6.27,62.4,0,0,,,
A. Wan-Bissaka,Manchester United,"RB, LB",26,2031-06-30,2004,"England, Congo DR",right,183,9.61,6.51,56.55,2.34,48.08,0.76,0.58,5.34,6.99,1.17,0,0,0.13,33.33,0,0.9,35,1.3,58.62,3.91,43.68,1.03,1.21,0.4,26.77,0.4,37.23,85.4,13.79,76.87,34.4,88.9,1.93,46.51,14.72,0.07,0.49,0.09,0.31,3.41,80.26,1.08,70.83,0.04,0,0.54,5.07,59.29,0,0,,,
S. McTominay,Manchester United,"RDMF, AMF",27,2028-06-30,2200,"England, Scotland",right,193,7.49,4.62,68.14,4.05,37.37,0.31,0.53,4.09,5.12,1.31,0.29,0.3,1.72,42.86,16.667,0.2,0,1.1,48.15,4.34,42.45,1.76,0.94,0.45,17.26,0.86,24.83,86.49,6.46,72.78,23.52,88.17,1.15,64.29,15.38,0.03,0.41,0.16,0.08,2.86,84.29,0.78,47.37,0.33,37.5,0.37,2.5,65.57,0,0,,,
Joelinton,Newcastle United,LCMF,27,2028-06-30,1435,Brazil,right,186,7.9,6.71,57.94,3.64,34.48,0.35,0.5,3.76,5.28,2.63,0.13,0.19,1.13,44.44,11.111,0.38,66.67,3.45,49.09,11.16,34.27,2.07,1.82,0.31,24.33,1.38,36.82,86.88,9.22,76.19,35.31,87.74,1.13,66.67,14.76,0.09,0.88,0.31,0.44,3.83,80.33,1.07,58.82,0.44,71.43,0.69,3.45,70.91,0,0,,,
N. Pope,Newcastle United,GK,32,2026-06-30,1520,England,right,191,1.78,0.18,66.67,0.59,50,0,0,1.66,2.3,0,0,0.01,0.06,0,0,0,0,0,0,0.18,100,0.06,0,0,9.83,0.24,14.39,89.3,4.97,71.43,11.13,98.94,3.26,56.36,27.53,0,0,0,0,0.53,44.44,0,0,0,0,0,2.13,58.33,72.41,0.86,-1.47,-0.087,1.48
L. Hall,Newcastle United,"LB, LCB",19,2026-06-30,910,England,left,179,10.58,8.01,64.2,2.47,48,0.41,0.2,5.14,7.19,2.27,0.1,0.03,1.09,36.36,9.091,1.48,13.33,2.18,72.73,5.93,40,1.29,1.19,0.69,32.64,0.49,44.6,83.15,19.19,76.29,39.76,88.06,3.56,52.78,17.17,0.05,0.3,0.2,0,4.55,76.09,1.88,21.05,0.1,100,0.3,7.91,66.25,0,0,,,
C. Wilson,Newcastle United,CF,32,2025-06-30,1164,England,right,180,2.09,2.09,62.96,2.47,28.13,0,0.08,0.77,1.2,2.86,0.7,0.75,2.86,56.76,24.324,0.46,0,2.32,46.67,12.06,24.36,5.18,1.24,0.15,9.43,1.24,11.13,71.53,2.71,45.71,10.52,75,0.23,33.33,13.32,0.05,0.46,0.31,0.15,1.31,64.71,0.7,33.33,0.31,50,0.7,0.77,80,0,0,,,
