Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
T. Adarabioyo,Fulham,RCB,27,2028-06-30,1836,"England, Nigeria",right,196,7.35,2.65,61.11,4.51,66.3,0.32,0.54,5.49,7.13,0.49,0.1,0.05,0.54,54.55,18.182,0.1,0,0.2,75,0.64,61.54,1.03,1.37,0.05,40.78,0.25,54.85,88.65,20.29,78.02,49.41,92.36,5.34,55.96,20.01,0,0.05,0.1,0,5.25,66.36,0.34,42.86,0.49,30,0.2,8.82,65.56,0,0,,,
I. Diop,Fulham,"RCB, LCB",27,2027-06-30,1623,"France, Senegal",right,194,10.15,6.04,72.48,2.77,58,0.33,0.83,5.49,6.63,0.11,0,0.02,0.28,20,0,0,0,0.06,100,1,44.44,0.39,1.16,0.11,42.2,0.22,56.4,89.28,24.29,81.96,51.74,93.46,4.66,42.86,19.16,0.01,0.06,0.11,0.06,5.88,68.87,0.72,23.08,0.89,12.5,0.11,8.87,65.63,0,0,,,
A. Robinson,Fulham,LB,27,2028-06-30,3703,"England, United States",left,183,11.86,8.73,62.95,1.92,54.43,0.21,0.17,6.2,7.65,2.72,0,0.03,0.41,47.06,0,3.74,31.82,2.14,61.36,4.5,45.95,1.56,2.04,0.95,28.92,0.53,41.8,76.69,15.75,69.6,33.27,84.81,4.98,54.15,19.92,0.09,0.63,0.15,0.53,4.2,68.79,3.04,44.8,0.39,31.25,0.51,9.02,62.53,0,0,,,
C. Bradley,Liverpool,RB,21,2027-06-30,812,Northern Ireland,right,181,13.08,10.31,70.97,2,66.67,0.58,0.11,5.43,9.42,3.99,0.11,0.09,1.33,33.33,8.333,3.44,38.71,3.55,56.25,8.2,41.89,3.33,2.33,1.11,36.69,1.22,48.44,82.38,12.52,66.37,42.12,88.16,2.99,48.15,17.29,0.18,1.44,0.33,0.89,4.21,63.16,3.55,71.88,0.55,60,1.66,7.87,73.24,0,0,,,
J. Quansah,Liverpool,RCB,21,2027-06-30,1337,"England, Scotland",right,190,9.36,5.72,78.82,5.18,62.34,0.66,0.54,4.44,7.31,0.61,0.13,0.09,0.34,80,40,0.07,100,0.47,57.14,1.41,47.62,0.47,1.55,0.27,55,0.13,72.97,92.34,25.04,81.99,66.84,95.37,6.06,58.89,19.39,0.01,0.2,0.07,0,8.01,77.31,0.4,16.67,0.34,0,0.13,9.69,78.47,0,0,,,
C. Jones,Liverpool,LCMF,23,2027-06-30,1314,England,right,185,5.75,5.48,57.5,1.3,31.58,0.12,0.14,2.53,4.4,1.3,0.07,0.19,1.16,29.41,5.882,0.48,28.57,1.78,42.31,9.18,32.09,2.74,1.71,0.34,39.11,0.96,50.62,91.2,11.71,79.53,48.49,93.5,1.64,41.67,15.67,0.08,0.62,0.62,0.21,5.41,88.61,1.71,48,0.96,14.29,1.23,4.66,83.82,0,0,,,
R. Gravenberch,Liverpool,"LCMF, RCMF",22,2028-06-30,1280,"Netherlands, Suriname",right,190,7.1,6.75,53.13,1.55,40.91,0.13,0.14,3.45,6.5,2.6,0.07,0.12,1.41,40,5,0.63,22.22,3.66,48.08,9.91,34.04,2.18,2.11,0.56,24.96,0.98,34.88,84.48,9.56,78.68,33.26,85.84,0.98,78.57,14.79,0.13,0.84,0.49,0.21,3.45,85.71,2.53,66.67,0.7,30,2.25,4.78,80.88,0,0,,,
H. Elliott,Liverpool,"RCMF, RWF",21,2027-06-30,1587,England,left,170,5.56,4.99,59.09,1.19,38.1,0.5,0,2.33,4.13,3.97,0.17,0.22,2.84,34,6,3.35,49.15,2.1,54.05,4.48,43.04,3.69,2.89,1.08,41.57,0.68,53.02,87.06,11.74,77.78,45.54,91.16,4.2,72.97,18.44,0.28,1.81,0.62,1.13,5.22,81.52,4.59,64.2,1.36,41.67,2.61,6.92,85.25,0,0,,,
J. Matip,Liverpool,RCB,33,,883,"Germany, Cameroon",right,194,9.68,4.69,60.87,4.79,74.47,0,1.02,6.83,9.57,0.1,0,0.05,0.31,0,0,0,0,0.2,50,1.33,30.77,1.22,2.24,0.51,38.53,0.31,55.14,89.46,20.59,80.69,51.06,91.62,4.08,62.5,18.26,0.01,0.1,0,0,4.38,72.09,0.31,100,0.2,50,0.41,6.93,61.76,0,0,,,
Alisson,Liverpool,GK,32,2027-06-30,2847,Brazil,right,191,1.33,0.09,33.33,0.38,100,0.05,0,1.26,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0.13,28.29,90.95,12.49,83.04,23.23,98.5,5.06,56.25,24.84,0,0,0,0,1.11,45.71,0.06,0,0.19,16.67,0,3.54,59.82,73.45,1.05,3.16,0.1,1.04
